question;answer
How do I register for an exam?;Application for exams is possible only through the system STUDIS at the latest at 23:59 two days before the exam. After the deadline passes, application is no longer possible. The withdrawl from an exam application is possible through the system STUDIS at the latest at 23:59 two days before the exam.
How does the ordering and issuing of certificates work?;Transcripts of Records and Certificates of registration can be exported or printed by students themselves, in either Slovene or English, from the system STUDIS (under PRINT action). Certificates of completed study can be exported or printed by the student themselves from the system STUDIS (under the Completion of Studies section) after successfully completing the diploma thesis defence.
How can I enrol in a higher year?;The enrolment instructions are available at the following link: ENROLMENT.
When I try to log into the system STUDIS, it reports an error, saying that I have lost access and should contact the administrator. What should I do?;In November 2024, the multi-factor authentication (MFA) was enabled for all user accounts within the University of Ljubljana. Instructions for enabling MFA or guidelines in case of difficulties can be found at the provided web link. Additional information regarding the available IT services can be found on the University of Ljubljana website.
What is the procedure for submitting and defending the diploma thesis, and where are diploma thesis defences publicly announced?;All information about the procedure for preparing and submitting the thesis is available at the following link Diplomsko delo. Public announcements of thesis defences are published at the following link.
I didn't complete the practical tutorials. Can I still take the exam?;No. The practical tutorials are part of the continuous course reqirements and are assessed as part of the final grade. To successfully complete the course, you must have a passing grade for both the exercises and the exam, therefore, without completing the exercises, you cannot successfully complete the course. You can register for the laboratory exercises based on the instructions provided at the ENROLMENT link.
How long are practical tutorials valid?;The practical tutorials are valid until the end of the current academic year. If you do not complete all course reqirements, you must register again for the laboratory exercises in the next academic year and complete all reqirements again.
How many completed courses and credits do I need to enrol in tthe Second Year of undergraduate study programmes?;To enrol in the Second Year of undergraduate study programmes, you must complete 9 courses from the First Year and obtain at least 53 ECTS credits.
How many completed courses and credits do I need to enrol in the Second Year of the masters study programmes?;To enrol in the Second Year of masters study programmes, you must complete the First year study requirements in the amount of 54 ECTS credits.
I have not met the requirements to enrol in a higher year/repeat the year. What are my options?;During your studies, you are entitled to use one additional year of student status (you may repeat a year, transfer to another study programme, or use the additional year after completing the regular enrolment in the final year). If you meet the conditions for repeating the year and have not yet used your additional year, an enrolment token for re-enrolment in your current year will be issued to you. If you were unable to complete your study obligations, you may, for justified reasons, submit one of the following requests: Re-enrolment in the same year and enrolment in a higer year in exceptional cases, and extension of student status for justified reasons. Justified reasons include, for example: pareting, prolonged illness of the student, exeptional family or social circumstances, recognised status of the student with special needs, active participation in top-level professional, cultural, or sports eventrs, and active involvement in university bodies. For all the above types of enrolment, you must meet specific conditions outlined in the Rules of Enrolment in a Higher Year and Repeating a Year in Exceptional Cases, and on the Extension of Student Status.
How can I claim the ECTS credits obtained within the Year Plus module?;The ECTS credits obtained within the Year Plus module can be used for two types of benefits: 1) Within your study programme, in 2nd or 3rd year, you may use the obtained credits as part of the selection and recognition of general elective courses. In the STUDIS system, on your enrolment sheet, select the course GENERAL ELECTIVE COURSE FROM ANOTHER FACULTY, submit the enrolment sheet electronically, and then send an email to: referat@fri.uni-lj.si stating that you wish to claim the courses Slovene as a Foreign Language - Language Course 1 and (The Faculty of Arts must also send your certificate of completed courses by email, as the grades are not entered auromatically.) 2) For the right to an exceptional one-year extension of student status. If you were enrolled for the first time as a foreign citizen in the first year at FRI at the time you were completing the Year Plus module, and if you meet the reguired conditions, you may submit a request for an exceptional extension of student status based on Year Plus. This right cannot be transferred to later enrolments in higher years.
